hrs,hra,hsera,hr,hera,ars,ara,asera,ar,aera,winner
4.69,4.52,3.1702544031311155,0.9473684210526315,3.59,3.99,5.36,3.913043478260869,0.775,3.31,1
4.34,4.14,4.329896907216495,1.4333333333333333,4.3,4.29,3.67,2.735166425470333,1.1176470588235294,2.73,1
4.29,3.64,3.081312410841655,0.8918918918918919,3.27,4.99,4.3,4.112903225806451,1.8846153846153846,3.7,0
5.31,4.15,2.1649484536082473,2.227272727272727,2.09,4.35,3.83,3.6818181818181817,1.6428571428571428,3.53,1
4.56,3.78,3.4615384615384612,0.972972972972973,3.76,4.42,4.53,5.638051044083526,1.2121212121212122,4.77,0
4.19,4.53,4.675324675324675,0.9736842105263158,4.67,3.8,4.53,2.9113924050632916,0.8095238095238095,3.51,1
4.25,5.14,2.145289443813848,1.1818181818181819,2.06,3.58,3.63,5.441176470588235,0.4117647058823529,4.48,1
4.6,4.93,4.2946058091286305,1.1428571428571428,3.64,4.51,4.19,5.155482815057283,0.85,4.66,1
4.92,5.12,2.5319693094629154,1.4333333333333333,2.7,3.56,3.92,6.247288503253796,0.40384615384615385,7.14,0
5.04,4.15,3.96,1.9230769230769231,1.23,4.33,3.62,2.608695652173913,1.5862068965517242,2.63,1
3.7,4.43,5.286885245901639,0.4897959183673469,4.63,4.49,5.12,5.669291338582677,1.0555555555555556,3.56,0
3.7,4.43,7.179487179487179,0.4897959183673469,7.19,4.49,5.12,5.3061224489795915,1.0555555555555556,2.45,1
4.34,3.51,4.1078838174273855,0.6444444444444445,5.77,4.83,5.11,3.4742647058823524,1.4,4.06,1
4.9,4.56,4.054054054054054,1.2121212121212122,3.97,4.17,4.26,3.035190615835777,0.9230769230769231,4.09,1
4.71,5.04,7.663043478260869,0.9736842105263158,5.89,3.55,5.35,5.159235668789809,0.6304347826086957,5.91,1
5.18,5.55,3.77027027027027,1.9230769230769231,4.15,3.62,3.07,5.806451612903226,0.4230769230769231,5.55,0
4.43,4.23,3.1279620853080567,1.4666666666666666,2.89,4.27,3.66,2.8685258964143423,1.0857142857142856,2.66,1
4.25,5.25,5.692771084337349,0.868421052631579,4.17,4.32,4.37,6.2148337595907925,0.7272727272727273,5.35,0
3.99,3.93,5.971563981042654,0.7560975609756098,4.82,4.64,4.54,4.343891402714932,1.0857142857142856,4.22,0
4.54,3.77,5.084745762711864,0.9473684210526315,4.42,4.49,4.59,5.450704225352113,1.2424242424242424,3.48,0
4.17,4.51,2.8125,1.0,4.22,3.75,4.47,4.372469635627531,0.7906976744186046,4.31,0
3.88,3.82,1.7821782178217822,0.85,2.21,5.29,4.11,4.199066874027993,2.272727272727273,3.3,1
4.25,4.22,4.346590909090909,1.2121212121212122,3.87,4.33,3.6,3.7696335078534027,1.1818181818181819,3.43,0
4.57,4.89,3.543307086614173,1.1714285714285715,3.57,4.47,4.14,6.50994575045208,0.8292682926829268,7.71,0
4.95,5.15,4.909090909090909,1.3870967741935485,3.97,3.65,4.0,2.5714285714285716,0.4230769230769231,3.81,0
5.16,4.28,2.7014218009478674,1.9615384615384615,3.59,4.41,3.7,4.612352168199737,1.5333333333333334,4.47,0
3.71,4.42,2.9177057356608476,0.5,2.9,4.57,5.19,3.6276391554702494,1.054054054054054,4.06,0
4.36,3.55,4.5552147239263805,0.6666666666666666,4.6,4.81,5.08,20.454545454545453,1.3548387096774193,3.63,1
4.97,4.63,2.9926108374384235,1.2424242424242424,2.5,4.12,4.2,5.516129032258065,0.9,3.9,1
4.79,5.12,3.9201451905626135,1.0,4.52,3.54,5.32,4.879518072289156,0.6170212765957447,5.45,0
5.12,5.48,3.2561505065123013,1.8518518518518519,3.77,3.59,3.04,4.279538904899135,0.4423076923076923,5.31,1
4.4,4.2,5.038880248833593,1.5,4.54,4.23,3.63,3.5869565217391304,1.0555555555555556,2.69,0
4.21,5.19,3.913043478260869,0.8461538461538461,4.38,4.36,4.42,6.313213703099511,0.75,15.95,0
3.96,3.91,1.9471153846153846,0.7380952380952381,1.51,4.65,4.55,2.524390243902439,1.1142857142857143,2.76,0
4.49,3.73,4.304347826086956,0.9230769230769231,3.68,4.45,4.56,4.544179523141655,1.2727272727272727,3.9,0
4.14,4.47,4.479638009049774,0.9743589743589743,4.7,3.78,4.49,4.669811320754717,0.813953488372093,2.21,1
3.85,3.79,2.5174825174825175,0.875,7.56,5.23,4.07,4.743589743589744,2.1739130434782608,4.89,1
4.22,4.19,7.524115755627009,1.1764705882352942,5.63,4.44,3.72,3.563049853372434,1.2121212121212122,2.55,0
4.52,4.84,2.25,1.1388888888888888,5.4,4.46,4.14,4.042553191489361,0.8536585365853658,3.75,0
4.95,5.15,4.750733137829912,1.34375,4.89,3.69,4.04,4.8517520215633425,0.4423076923076923,4.82,1
5.12,4.25,2.5714285714285716,1.8888888888888888,2.74,4.44,3.74,2.443438914027149,1.5666666666666667,3.8,1
3.74,4.44,4.331550802139037,0.49019607843137253,4.41,4.6,5.21,5.31055900621118,1.0810810810810811,8.03,1
4.45,3.65,6.768292682926829,0.6888888888888889,5.18,4.77,5.04,1.5168539325842696,1.3125,3.11,1
4.96,4.62,5.086956521739131,1.2727272727272727,5.04,4.08,4.16,3.209509658246657,0.8780487804878049,3.63,1
4.75,5.08,5.107632093933463,0.9743589743589743,5.2,3.57,5.32,3.7587006960556844,0.6382978723404256,4.03,0
