hrs,hra,hsera,hr,hera,ars,ara,asera,ar,aera,winner
4.44,4.01,5.498392282958199,1.2580645161290323,5.14,3.91,3.77,4.176334106728538,0.7692307692307693,3.12,0
4.38,5.15,2.1906693711967544,0.7317073170731707,3.54,3.96,4.03,3.4615384615384617,1.1875,3.62,0
5.57,4.09,2.2916666666666665,1.4642857142857142,1.42,4.91,3.51,3.6388140161725064,1.5925925925925926,1.51,1
4.24,4.79,5.652173913043478,0.8378378378378378,6.14,5.03,4.57,5.979020979020978,1.5,4.52,0
3.94,3.99,4.7368421052631575,1.0909090909090908,3.88,4.55,4.1,3.1929046563192904,1.6296296296296295,3.43,1
3.5,4.96,7.234726688102894,0.5454545454545454,6.75,4.42,4.34,4.472049689440993,1.3103448275862069,3.11,1
4.5,3.54,3.5294117647058827,1.25,2.18,4.99,5.1,2.739130434782609,1.0606060606060606,2.74,1
4.0,4.71,4.1637010676156585,1.0,4.13,4.87,3.77,2.827225130890052,1.5357142857142858,3.2,1
4.87,3.61,4.493392070484582,1.8,3.71,4.18,4.31,5.168918918918918,0.9705882352941176,3.69,0
3.97,4.91,6.387096774193548,0.5681818181818182,2.91,4.58,5.36,6.86217008797654,0.6829268292682927,8.38,0
3.76,3.98,4.400630914826498,0.8857142857142857,4.19,3.76,3.42,4.701492537313433,1.2962962962962963,5.6,0
3.76,3.98,3.272727272727273,0.8857142857142857,4.09,3.76,3.42,5.962732919254659,1.2962962962962963,3.65,1
4.99,5.13,8.764845605700712,1.0285714285714285,6.98,3.86,4.94,2.850678733031674,0.6904761904761905,3.49,0
4.18,5.65,6.458333333333333,0.38461538461538464,3.86,5.2,3.74,3.3924611973392462,1.5925925925925926,3.38,0
4.93,4.84,3.633540372670807,0.9142857142857143,4.38,3.97,4.53,4.309165526675787,1.0,3.95,0
4.93,4.84,4.390243902439025,0.9142857142857143,5.63,3.97,4.53,3.925233644859813,1.0,3.72,1
4.1,5.23,10.8,0.48936170212765956,7.76,4.99,4.41,3.3878887070376433,0.9714285714285714,3.43,0
4.39,4.11,4.026315789473684,1.21875,6.11,4.01,3.73,2.25,0.7948717948717948,2.25,1
4.39,5.17,6.041666666666666,0.7142857142857143,5.76,3.99,4.04,8.962655601659751,1.21875,5.18,0
5.59,4.07,2.175226586102719,1.5,2.89,4.89,3.56,3.805970149253731,1.5357142857142858,3.78,1
4.19,4.83,3.567774936061381,0.8157894736842105,4.63,5.06,4.52,2.9423076923076925,1.5357142857142858,3.76,1
3.99,4.0,4.375,1.121212121212121,4.2,4.56,4.14,3.219284603421462,1.5714285714285714,2.99,1
3.54,4.93,5.575221238938052,0.5681818181818182,3.88,4.4,4.37,8.863636363636363,1.2666666666666666,7.57,0
4.53,3.56,3.6666666666666665,1.28125,3.33,4.99,5.13,4.618973561430793,1.0294117647058822,5.83,1
4.03,4.71,4.186046511627906,1.0277777777777777,5.44,4.88,3.81,5.066225165562914,1.4827586206896552,4.42,1
3.94,4.89,4.459459459459459,0.5555555555555556,4.57,4.56,5.31,4.9168646080760094,0.7073170731707317,5.01,0
3.75,3.97,4.285714285714286,0.8888888888888888,5.6,3.75,3.42,1.7241379310344827,1.2857142857142858,2.12,1
4.23,5.7,5.516637478108581,0.37735849056603776,5.4,4.03,4.07,4.331550802139037,1.25,4.24,1
4.1,5.25,5.209003215434083,0.4791666666666667,5.76,5.62,4.04,3.4615384615384617,1.5357142857142858,5.68,0
4.36,4.06,3.838862559241706,1.25,4.06,4.36,4.32,3.96551724137931,1.3,3.48,0
4.55,5.27,7.47457627118644,0.7317073170731707,6.12,4.94,5.1,3.4989200863930887,1.0,3.39,1
4.51,3.54,2.3567921440261865,1.3125,2.57,5.25,3.8,3.25497287522604,1.6296296296296295,3.54,1
3.92,4.87,3.066841415465268,0.5434782608695652,2.09,4.51,4.11,3.7142857142857144,1.5172413793103448,4.21,1
4.96,5.13,4.6487603305785115,1.0,4.45,4.97,3.72,4.072398190045249,1.7692307692307692,3.01,0
4.24,5.64,3.366583541147132,0.39622641509433965,3.99,3.99,4.08,1.437125748502994,1.2121212121212122,2.28,0
4.07,5.32,7.435897435897435,0.46938775510204084,5.95,5.68,4.01,3.409090909090909,1.5714285714285714,3.74,0
4.3,4.05,2.423076923076923,1.2121212121212122,4.13,4.36,4.26,13.278688524590164,1.3333333333333333,12.79,1
3.88,4.92,4.609756097560975,0.7142857142857143,4.36,3.99,4.43,5.364238410596027,1.0,4.58,1
3.96,3.7,3.841463414634146,0.775,3.09,5.01,4.4,5.038167938931297,1.0,4.64,0
